title,author,year_published,edition_count,open_library_key,queried_author,description
A Macat Analysis of Gayatri Chakravorty Spivak's Can the Subaltern Speak?,Graham K. Riach,,1,/book/show/59816653-a-macat-analysis-of-gayatri-chakravorty-spivak-s-can-the-subaltern-speak,Gayatri Chakravorty Spivak,"2 h 12 min Can the Subaltern Speak? is a classic of postcolonial studies, the discipline that examines the impact of colonial control on countries that gained their independence from European powers from the 1940s onwards. The essay, written in 1988 by Calcutta-born scholar Gayatri Chakravorty Spivak, argues that a core problem for the poorest and most marginalized in society (the subalterns) is that they have no platform to express their concerns, and no voice to affect policy debates or demand a fairer share of society's goods. The women among them, says Spivak, are doubly oppressed. Spivak first earned her academic reputation thanks to her English translation of French philosopher Jacques Derrida's Of Grammatology. This work, as well as feminism and Marxism, strongly influenced Can the Subaltern Speak? The essay has been widely praised for the insights it brings to postcolonial studies, but has also been criticized as dense and difficult to understand."
The Spivak Reader,Gayatri Chakravorty Spivak,,9,/book/show/765607.The_Spivak_Reader,Gayatri Chakravorty Spivak,"Among the foremost feminist critics to have emerged to international eminence over the last fifteen years, Gayatri Chakravorty Spivak has relentlessly challenged the high ground of established theoretical discourse in literary and cultural studies. Although her rigorous reading of various authors has often rendered her work difficult terrain for those unfamiliar with poststructuralism, this collection makes significant strides in explicating Spivak's complicated theories of reading."
Harlem,Gayatri Chakravorty Spivak,,3,/book/show/15059480-harlem,Gayatri Chakravorty Spivak,"W. E. B. Du Bois has described the African American at the end of the nineteenth century as “two souls in one dark body, whose dogged strength alone keeps it from being torn asunder.” In the United States today, the hyphen between these two souls—African and American, African-American—is still being negotiated. In Harlem , Spivak engages with thirty-four photographs by photographer Alice Attie as she attempts teleopoiesis , a reaching toward the distant other through the empathetic power of the imagination. In the hands of Spivak, teleopoiesis is a kind of identity politics in which one disrupts identity as a result of migration or exile. For the last two decades, Spivak notes, Harlem has been the focus of major economic development. As the old Harlem disappears into a present that simultaneously demands and rejects a cultural essence, Spivak dwells in Attie’s images, trying to navigate some middle ground between the rock of social history and the hard place of a seamless culture. “Gayatri Chakravorty Spivak has probably done more long-term political good in pioneering feminist and postcolonial studies within global academia than almost any of her theoretical colleagues.”—Terry Eagleton “Not only does her world-renowned scholarship range widely from critiques of post-colonial discourse to feminism, Marxism, and globalization; her lifelong search for fresh insights and understanding has transcended the traditional boundaries of discipline while retaining the fire for new knowledge that is the hallmark of a great intellect.”—Lee Bollinger, Columbia University"
Gayatri Chakravorty Spivak: The Question of Representation of the Subaltern in the Context of Neo-colonalism & Globalization,Constanze Lemmerich,,2,/book/show/34778315-gayatri-chakravorty-spivak,Gayatri Chakravorty Spivak,"Book by Lemmerich, Constanze"
Conversations with Gayatri Chakravorty Spivak,Unknown Author,,1,/book/show/244271222-conversations-with-gayatri-chakravorty-spivak,Gayatri Chakravorty Spivak,"Renowned for her deconstructionist and post-colonial theories, Gayatri Chakravorty Spivak is a controversial and influential figure. Her impressive work spans feminism, Marxism, literary criticism, and post-colonialism, earning her a unique status as both an insider and outsider across various disciplines. This collection of interviews mirrors her global intellectual pursuits, as she interacts with diverse individuals from America to China, showcasing her international engagement."
Readings,Gayatri Chakravorty Spivak,,5,/book/show/21470423-readings,Gayatri Chakravorty Spivak,"Throughout her distinguished career, Gayatri Chakravorty Spivak has sought to locate and confront shifting forms of social and cultural oppression. As her work shows, the best method for doing so is through extended practice in the ethics of reading. In Readings , Spivak elaborates a utopian vision for the kind of deep and investigative reading that can develop a will for peaceful social justice in coming generations. Through her own analysis of specific works, Spivak demonstrates modes in which such a vision might be achieved. In the examples here, she pays close attention to signposts of character, action, and place in J. M. Coetzee’s Summertime and Elizabeth Gaskell’s North and South . She also offers rereads of two of her own essays, addressing changes in her own thinking and practice over the course of her career. Now in her fifth decade of teaching, Spivak passes on her lessons through anecdote, interpretation, warning, and instruction to students and teachers of literature. She writes, “I urge students of English to understand that utopia does not happen, and yet to understand, also, their importance to the nation and the world. Indeed, I know how hard it is to sustain such a spirit in the midst of a hostile polity, but I urge the students to consider the challenge.”"
The Idea of India: A Dialogue,Gayatri Chakravorty Spivak,,2,/book/show/209189862-the-idea-of-india,Gayatri Chakravorty Spivak,"A lively discussion between two eminent Indian academics that examines what it means to be an Indian. Through a stimulating dialogue, two old friends trace the history of the idea of India through digressions, anecdotes, and observations. Historian Romila Thapar and theorist Gayatri Chakravorty Spivak reflect on the challenges posed by essentialism and exclusion whenever cultures attempt to define and assert themselves. They also emphasize the role of education in fostering a more inclusive and accurate understanding of the nation’s complex history. Their conversation revolves around the narratives that have shaped Indian identity—from Vedic times to the present—and those whose voices and visions for this land remain unheard and unseen. Ranging from nationalism to religion and beyond, The Idea of India discusses an urgent What does it mean to be an Indian in contemporary society?"
Living Translation,Gayatri Chakravorty Spivak,,3,/book/show/60557521-living-translation,Gayatri Chakravorty Spivak,"[i]At a time when the humanities are expected to genuflect before the sciences, and when privatization and professionalization displace knowledge, Spivak urges us not only to stand tall but to insist that ethical solidarities are only possible through the rigorous training of the imagination.[/i]—[b]Angela Davis[/b] Living Translation performs the invaluable service of gathering for the first time Gayatri Chakravorty Spivak’s wide-ranging writings on translation. In this volume, we can see in sharp relief the extent to which, throughout her long career, she has made translation a central concern of the comparative humanities. Starting with her landmark “Translator’s Preface” to Jacques Derrida’s Of Grammatology in 1976, and continuing with her “Foreword” to Mahasweta Devi’s “Draupadi” and “Afterword” to Devi’s Chotti Munda and His Arrow, Spivak tackled translatability as such from the ground up and at the political limit; at border checkpoints, at sites of colonial pedagogy, in acts of resistance to monolingual regimes of national language, at the borders of minor literature and schizo-analysis, in the deficits of cultural debt and linguistic expropriation, and, more generally, at theory’s edge, which is to say, where practical criticism yields to theorizing in Untranslatables. This volume also addresses how Spivak’s institution-building as director of Comparative Literature at the University of Iowa—and in her subsequent places of employment—began at the same time. From this perspective, Spivak takes her place within a distinguished line-up of translator-theorists that includes Walter Benjamin, George Steiner, Jacques Derrida, Binoy Majumdar, François Cheng, Louis-Jean Calvet, Samuel Weber, Susan Bassnett, Abdelfattah Kilito, Barbara Cassin, Abdessalam Benabdelali, Jean-Jacques Lecercle, François Jullien, Lydia Liu, and Lydia Davis—all of them particularly attuned to the processes of cognizing in languages, all of them alive to the co-productivity of thinking, translating, writing."
"Ethics and Politics in Tagore, Coetzee and Certain Scenes of Teaching",Gayatri Chakravorty Spivak,,2,/book/show/44552101-ethics-and-politics-in-tagore-coetzee-and-certain-scenes-of-teaching,Gayatri Chakravorty Spivak,"Gayatri Chakravorty Spivak’s Ethics and Politics in Tagore, Coetzee and Certain Scenes of Teaching attempts to track the ‘literary’ in the production of ethics and politics. Ethics here is not an inventory of moral principles to be followed in action. Instead, the ethical is proposed as an unconditional call to which the human being must learn to respond. Even years after its publication, the arguments Spivak makes retain their relevance for students of the social sciences."
The Idea of India: A Dialogue,Romila Thapar And Gayatri Chakravorty Spivak,,1,/book/show/210602441-the-idea-of-india,Gayatri Chakravorty Spivak,New
Spivak Moving,Gayatri Chakravorty Spivak,,2,/book/show/60557511-spivak-moving,Gayatri Chakravorty Spivak,"This collection offers a broad range of Spivak’s recent essays, lectures, and other writings that speak to her groundbreaking work in feminism, deconstruction, Marxism, and subaltern studies. The pieces collected in Spivak Moving touch on a variety of topics, including her crucial thinking on pan-Africanism and W. E. B. DuBois, reproductive heteronormativity, art and film, class apartheid in education, practices of institutional critique, and the training of imaginative activism through a sustained engagement with the humanities. She moves from a look at the unsystematized first languages of continental Africa into a broader consideration of human rights, international civil society practice, the question of terror, the “freedom” of the academic, and the place of the digital. About half the essays are collected here for the first time and are not found in Spivak’s several published essay collections."
"En otras palabras, en otros mundos",Gayatri Chakravorty Spivak,,1,/book/show/107596451-en-otras-palabras-en-otros-mundos,Gayatri Chakravorty Spivak,Brand New. Ship worldwide
"Identities: Journal for Politics, Gender and Culture Vol. 2, No. 2 (Winter 2003) - Issue No. 5",Gayatri Chakravorty Spivak Ugo Vlaisavljević,,1,/book/show/168322945-identities,Gayatri Chakravorty Spivak,"I. POLITICS/ UGO Yugoslav Communism and The Continuity of Ethnopolitics / GAYATRI CHAKRAVORTY Resistance That Cannot Be Recognised As Such (Interview by Suzana Milevska) / II. SEXUALITIES/ FRANÇOIS LARUELLE, ANNE-FRANÇOISE L`identité sexuée / MARINA Queer Identity, Sexuality and Europe / III. CULTURES/ JELENA The Theatre Violence, Today / FROMA The Theater, Identity, and the Self / REVIEWS by RAJNA KOSHKA, IRENA STEFOSKA AND ZARKO TRAJANOSKI"
"Old Women: Statue; And, the Fairytale of Mohanpur",Mahasweta Devi,,4,/book/show/262035.Old_Women,Gayatri Chakravorty Spivak,"The two stories in this collection are touching, poignant tales, in both of which the protagonists are old women."
Bashai Tudu,Mahasweta Devi,,4,/book/show/324580.Bashai_Tudu,Gayatri Chakravorty Spivak,"Mahasweta Devi, a major literary force in contemporary Bengali literature, is a prolific author of short fiction and novels. Born into a family of intellectuals, she was influenced early by her association with the Indian Peoples Theatre Association, a leftist cultural group particularly active across the country in the 1930s and 1940s. As a social activist she has worked for years with and for tribals and marginalized communities such as the landless laborers of eastern India. Activism is central to Devi’s understanding of the role of a writer in society, and this is reflected in her impressive body of work. 'Operation Bashai Tudu,' a novelette and 'Draupadi,' a short story, evoke a modern myth of a tribal peasant revolutionary who is killed again and again, but turns up whenever the landless farm labourers are driven to a crisis. Novelist and activist, Mahasweta Devi writes about women, tribals, and revolutionaries, in their confrontation with exploitation."
Of Grammatology,Jacques Derrida,,2,/book/show/85326.Of_Grammatology,Gayatri Chakravorty Spivak,"Jacques Derrida's revolutionary theories about deconstruction, phenomenology, psychoanalysis, and structuralism, first voiced in the 1960s, forever changed the face of European and American criticism. The ideas in De la grammatologie sparked lively debates in intellectual circles that included students of literature, philosophy, and the humanities, inspiring these students to ask questions of their disciplines that had previously been considered improper. Thirty years later, the immense influence of Derrida's work is still igniting controversy, thanks in part to Gayatri Spivak's translation, which captures the richness and complexity of the original. This corrected edition adds a new index of the critics and philosophers cited in the text and makes one of contemporary criticism's most indispensable works even more accessible and usable."
Breast Stories,Mahasweta Devi,,6,/book/show/262033.Breast_Stories,Gayatri Chakravorty Spivak,"*Translated and introduced by Gayatry Chakravorty Spivak* As Gayatri Chakravorty Spivak points out in her introduction, the breast is far more than a symbol in these stories - it is the means of harshly indicting an explotative social system. In ""Draupadi"", the protagonist, Dopdi Mejhen, is a tribal revolutionary, who, arrested and gang-raped in custody, turns the terrible wounds of her breast into a counter-offensive, In ""Breast-giver"", a woman who becomes a professional wet nurse to support her family, dies of painful breast cancer, betrayed alike by the breasts that had for years been her chief identity and the dozens of 'sons' she had suckled. In ""Behind the Bodice"", migrant labourer Gangor's 'statuesque' breasts excite the attention of ace photographer Upin Puri, triggering off a train of violence that ends in tragedy. Spivak introduces this cycle of 'breast stories' with thought-provoking essays which probe the texts of the stories, opening them up to a complex of interpretation and meaning."
Draupadi,Mahasweta Devi,,1,/book/show/28494833-draupadi,Gayatri Chakravorty Spivak,"Mahasweta Devi situates her story against the Naxalite movement (1967-71), the Bangladesh Liberation War (1971) of West Bengal and the ancient Hindu epic of Mahabharata, engaging with the complex politics of Bengali identity and Indian nationhood. The tribal uprising against wealthy landlords brought upon the fury of the government which led to Operation Bakuli that sought to kill the so-called tribal rebels."
Imaginary Maps,Mahasweta Devi,,12,/book/show/335258.Imaginary_Maps,Gayatri Chakravorty Spivak,"Imaginary Maps presents three stories from noted Bengali writer Mahasweta Devi in conjunction with readings of these tales by famed cultural and literary critic, Gayatri Chakravorty Spivak. Weaving history, myth and current political realities, these stories explore troubling motifs in contemporary Indian life through the figures and narratives of indigenous tribes in India. At once delicate and violent, Devi's stories map the experiences of the ""tribals"" and tribal life under decolonization. In ""The Hunt,"" ""Douloti the Bountiful"" and the deftly wrought allegory of tribal agony ""Pterodactyl, Pirtha, and Puran Sahay,"" Ms. Devi links the specific fate of tribals in India to that of marginalized peoples everywhere. Gayatri Spivak's readings of these stories connect the necessary ""power lines"" within them, not only between local and international structures of power (patriarchy, nationalisms, late capitalism), but also to the university."
Can the Subaltern Speak?: Reflections on the History of an Idea,Rosalind C. Morris,,9,/book/show/7811553-can-the-subaltern-speak,Gayatri Chakravorty Spivak,"Gayatri Chakravorty Spivak's original essay ""Can the Subaltern Speak?"" transformed the analysis of colonialism through an eloquent and uncompromising argument that affirmed the contemporary relevance of Marxism while using deconstructionist methods to explore the international division of labor and capitalism's ""worlding"" of the world. Spivak's essay hones in on the historical and ideological factors that obstruct the possibility of being heard for those who inhabit the periphery. It is a probing interrogation of what it means to have political subjectivity, to be able to access the state, and to suffer the burden of difference in a capitalist system that promises equality yet withholds it at every turn. Since its publication, ""Can the Subaltern Speak?"" has been cited, invoked, imitated, and critiqued. In these phenomenal essays, eight scholars take stock of the effects and response to Spivak's work. They begin by contextualizing the piece within the development of subaltern and postcolonial studies and the quest for human rights. Then, through the lens of Spivak's essay, they rethink historical problems of subalternity, voicing, and death. A final section situates ""Can the Subaltern Speak?"" within contemporary issues, particularly new international divisions of labor and the politics of silence among indigenous women of Guatemala and Mexico. In an afterword, Spivak herself considers her essay's past interpretations and future incarnations and the questions and histories that remain secreted in the original and revised versions of ""Can the Subaltern Speak?""—both of which are reprinted in this book."
Selected Subaltern Studies (Essays from the 5 Volumes and a Glossary),Ranajit Guha,,3,/book/show/307161.Selected_Subaltern_Studies,Gayatri Chakravorty Spivak,"This provocative volume presents the most wide-ranging essays from the first five volumes of Subaltern Studies , along with an introductory essay by Gayatri Chakravorty Spivak--the translator of Derrida's Of Grammatology into English--and a foreword by eminent critic Edward W. Said. Addressed to students and scholars throughout the humanities, these essays address what Antonio Gramsci--the founder of the Italian communist party--called the subaltern classes, reexamining well-known historical and political events, such as Gandhi's role in India, from a Marxist perspective. Together, the essays examine aspects of the analysis of domination, with special reference to the critique of imperialism, in an attempt to rectify the elitist bias characteristic of much academic work on India. A ground-breaking work of considerable pedagogical relevance for courses dealing with colonialism and imperialism in literature, sociology, anthropology, politics, and history, Subaltern Studies also features a comprehensive glossary of Indian terms for readers not familiar with Indian history."
The Archive,Charles Merewether,,5,/book/show/139323.The_Archive,Gayatri Chakravorty Spivak,"The significance of the archive in modernity and in contemporary art; writings by Sigmund Freud, Michel Foucault, Hal Foster, and others, and essays on the archival practice of such artists as Gerhard Richter, Christian Boltanski, Ren�e Green, and The Atlas Group. In the modern era, the archive--official or personal--has become the most significant means by which historical knowledge and memory are collected, stored, and recovered. The archive has thus emerged as a key site of inquiry in such fields as anthropology, critical theory, history, and, especially, recent art. Traces and testimonies of such events as World War II and ensuing conflicts, the emergence of the postcolonial era, and the fall of communism have each provoked a reconsideration of the authority given the archive--no longer viewed as a neutral, transparent site of record but as a contested subject and medium in itself. This volume surveys the full diversity of our transformed theoretical and critical notions of the archive--as idea and as physical presence--from Freud's mystic writing pad to Derrida's archive fever; from Christian Boltanski's first autobiographical explorations of archival material in the 1960s to the practice of artists as various as Susan Hiller, Ilya Kabakov, Thomas Hirshhorn, Ren�e Green, and The Atlas Group in the present. Not for sale in the UK and Europe."
The Debate on Postcolonial Theory and the Specter of Capital,Vivek Chibber,,1,/book/show/33781825-the-debate-on-postcolonial-theory-and-the-specter-of-capital,Gayatri Chakravorty Spivak,"Leading thinkers’ critiques of award-winning Postcolonial Theory, as well as the author’s responses and reformulations Vivek Chibber’s Postcolonial Theory and the Specter of Capital was hailed on publication as “without any doubt … a bomb,” and “the most substantive effort to dismantle the field through historical reasoning published to date.” It immediately unleashed one of the most important recent debates in social theory, ranging across the humanities and social sciences, on the status of postcolonial studies, modernity, and much else. This book brings together major critics of Chibber’s work to assess the efficacy of his argument from differing perspectives. Included are Chibber’s own spirited responses and reformulations in light of these criticisms. With contributions by Partha Chatterjee, Gayatri Spivak, Bruce Robbins, Ho-fung Hung, William H. Sewell, Jr., Bruce Cumings, George Steinmetz, Michael Schwartz, David Pederson, Stein Sundstøl Eriksen, and Achin Vanaik."
"Concerning Violence: Fanon, Film, and Liberation in Africa, Selected Takes 1965-1987",Göran Olsson,,1,/book/show/25330350-concerning-violence,Gayatri Chakravorty Spivak,""" Concerning Violence [is] a post colonialist montage . . . [an] illustration of Fanon's 1961 anticolonialist broadside, The Wretched of the Earth , abridged and sharpened to its ferocious point.""— The New York Times ""By grounding colonial brutalities and the responses to those injustices in the visual, the phenomenon of colonialism attains a larger and more global significance. Olsson's interest is in decolonization—that short yet potent moment at the tail end of an anti-colonial war followed by the transfer of power when the new nation comes into being. This has often proven to be one of the most violent episodes in post-colonial history, and [Frantz] Fanon is its most articulate philosopher . . . Olsson's investment [is] in making Fanon's theory relevant and up-to-date.""— The Guardian An unblinking portrait of the anticolonial struggles of the 1960s, Concerning Violence combines more than a hundred arresting color photographs from Göran Hugo Olsson's award-winning documentary, with passages from Frantz Fanon’s classic The Wretched of the Earth . Concerning Violence is a powerful commentary on the history of colonialism and struggles for self-determination, whose echoes remain with us today, and will introduce a new generation to Fanon, whom Angela Davis has called “this century’s most compelling theorist of racism and colonialism.” The book features an introduction by Professor Gayatri Chakravorty Spivak, author of Can the Subaltern Speak? and other foundational texts of postcolonialism."
Think in Public: A Public Books Reader (Public Books Series),Sharon Marcus,,3,/book/show/49917633-think-in-public,Gayatri Chakravorty Spivak,"Since 2012, Public Books has championed a new kind of community for intellectual engagement, discussion, and action. An online magazine that unites the best of the university with the openness of the internet, Public Books is where new ideas are debuted, old facts revived, and dangerous illusions dismantled. Here, young scholars present fresh thinking to audiences outside the academy, accomplished authors weigh in on timely issues, and a wide range of readers encounter the most vital academic insights and explore what they mean for the world at large. Think in Public: A Public Books Reader presents a selection of inspiring essays that exemplify the magazine’s distinctive approach to public scholarship. Gathered here are Public Books contributions from today’s leading thinkers, including Jill Lepore, Imani Perry, Kim Phillips-Fein, Salamishah Tillet, Jeremy Adelman, N. D. B. Connolly, Namwali Serpell, and Ursula K. Le Guin. The result is a guide to the most exciting contemporary ideas about literature, politics, economics, history, race, capitalism, gender, technology, and climate change by writers and researchers pushing public debate about these topics in new directions. Think in Public is a lodestone for a rising generation of public scholars and a testament to the power of knowledge."
A Season in the Congo,Aimé Césaire,,28,/book/show/52061977-a-season-in-the-congo,Gayatri Chakravorty Spivak,"This play by renowned poet and political activist Aime Césaire recounts the tragic death of Patrice Lumumba, the first prime minister of the Congo Republic and an African nationalist hero. A Season in the Congo follows Lumumba’s efforts to free the Congolese from Belgian rule and the political struggles that led to his assassination in 1961. Césaire powerfully depicts Lumumba as a sympathetic, Christ-like figure whose conscious martyrdom reflects his self-sacrificing humanity and commitment to pan-Africanism. Born in Martinique and educated in Paris, Césaire was a revolutionary artist and lifelong political activist, who founded the Martinique Independent Revolution Party. Césaire’s ardent personal opposition to Western imperialism and racism fuels both his profound sympathy for Lumumba and the emotional strength of A Season in the Congo . Now rendered in a lyrical translation by distinguished scholar Gayatri Chakravorty Spivak, Césaire’s play will find a new audience of readers interested in world literature and the vestiges of European colonialism."
"Rewriting Difference: Luce Irigaray and ""The Greeks""",Elena Tzelepis,,4,/book/show/7503945-rewriting-difference,Gayatri Chakravorty Spivak,"In this definitive reader, prominent scholars reflect on how Luce Irigaray reads the classic discourse of Western metaphysics and also how she is read within and against this discourse. Her return to the Greeks, through strategies of deconstructing, demythifying, reconstructing, and remythifying, is not a nostalgic return to the ideality of Hellenocentric antiquity, but rather an affirmatively critical revisiting of this ideality. Her persistent return and affective bond to ancient Greek logos, mythos, and tragedy sheds light on some of the most complex epistemological issues in contemporary theory, such as the workings of criticism, the language of politics and the politics of language, the possibility of social and symbolic transformation, the multiple mediations between metropolitan and postcolonial contexts of theory and practice, the question of the other, and the function of the feminine in Western metaphysics. With a foreword by Gayatri Chakravorty Spivak and a chapter by Irigaray responding to her commentators, this book is an essential text for those in social theory, comparative literature, or classics."""
Political Concepts: A Critical Lexicon,J.M. Bernstein,,4,/book/show/37971539-political-concepts,Gayatri Chakravorty Spivak,"Deciding what is and what is not political is a fraught, perhaps intractably opaque matter. Just who decides the question; on what grounds; to what ends—these seem like properly political questions themselves. Deciding what is political and what is not can serve to contain and restrain struggles, make existing power relations at once self-evident and opaque, and blur the possibility of reimagining them differently. Political Concepts seeks to revive our common political vocabulary—both everyday and academic—and to do so critically. Its entries take the form of essays in which each contributor presents her or his own original reflection on a concept posed in the traditional Socratic question format “What is X?” and asks what sort of work a rethinking of that concept can do for us now. The explicitness of a radical questioning of this kind gives authors both the freedom and the authority to engage, intervene in, critique, and transform the conceptual terrain they have inherited. Each entry, either implicitly or explicitly, attempts to re-open the question “What is political thinking?” Each is an effort to reinvent political writing. In this setting the political as such may be understood as a property, a field of interest, a dimension of human existence, a set of practices, or a kind of event. Political Concepts does not stand upon a decided concept of the political but returns in practice and in concern to the question “What is the political?” by submitting the question to a field of plural contention. The concepts collected in Political Concepts are “Arche” (Stathis Gourgouris), “Blood” (Gil Anidjar), “Colony” (Ann Laura Stoler), “Concept” (Adi Ophir), “Constituent Power” (Andreas Kalyvas), “Development” (Gayatri Spivak), “Exploitation” (Étienne Balibar), “Federation” (Jean Cohen), “Identity” (Akeel Bilgrami), “Rule of Law” (J. M. Bernstein), “Sexual Difference” (Joan Copjec), and “Translation” (Jacques Lezra)"
Critical Secularism,Emily Apter,,1,/book/show/3281349-critical-secularism,Gayatri Chakravorty Spivak,"At a moment in history when the world seems increasingly drawn into a violent “clash of fundamentalisms,” this boundary 2 special issue , Critical Secularism, brings together renowned figures in cultural studies and literary theory to critically rethink the narratives of secularization that characterize modern culture. Implicit within this collection is a consideration of the fate, in the twenty-first century, and in the postcolonial world, of the legacies of the eighteenth-century Enlightenment. While recognizing the homogenizing tendencies of post-Enlightenment culture, these scholars collectively militate against a simplistic rejection of the Enlightenment and its theoretical legacies as mere tools of colonization, used to legitimize the domination of various cultural and ethnic “others.” Rather, these essays explore the potential that a renewal of secularism has for progressive culture and politics in this historical moment, when religiously inflected politics and violence are escalating around the globe.In this collection, prominent literary and cultural theorists discuss the crisis that secularist theory faces in postcolonial contexts, and—in a recuperative effort—focus on secularism from the perspectives of various marginalized groups (religious and cultural minorities, women, and colonized peoples.). Essays explore secularist expression across a range of cultural and literary texts— from Indian medieval lyrics to the contemporary fiction of the Levant. Other contributors offer critical reevaluations of previous scholarship on secularism, and plumb the relationship between literary criticism/theory and the politics of secularism. Contributors. Emily Apter, Rashmi Bhatnagar, Akeel Bilgrami, Rashmi Dube, Reena Dube, Renu Dube, Bishnupriya Ghosh, Willi Goetschel, Stathis Gourgouris, David M. Halperin, Gil Hochberg, Ronald Judy, Aamir R. Mufti, Edward W. Said, Gayatri Chakravorty Spivak"
"On Productive Shame, Reconciliation, and Agency",Suzana Milevska,,3,/book/show/28927795-on-productive-shame-reconciliation-and-agency,Gayatri Chakravorty Spivak,"On Productive Shame, Reconciliation, and Agency prompts a unique crossdisciplinary inquiry into the productive potential of the affect of shame. This book contests the ontological understanding of shame and the psychoanalytical interpretation of it based on personal traumatic experiences linked to lack, loss, memory repression, and absence. Rather, the book builds on complex issues (initially proposed by Paul Gilroy) that concern the coming to terms with a grim colonial and imperial past: How can one deal with the personal and collective memories of “paralyzing guilt” after dreadful atrocities and genocides? How can such negative experiences be transformed into “productive shame” (not only for the perpetrators but also for the victims and witnesses)? This collection of essays, discussions, and interviews reflects on the intersection of the historicity, materiality, and structures behind culturally constructed race and racism, anti-Semitism, anti-Romaism, and queer shame across different disciplines, fields, and theories (for example, in philosophy, art and art history, visual culture, architecture, curating, postcolonial history, gender and queer studies). Various case studies and artistic projects employing collaborative and participatory research methods are analyzed as practices that empower the process of turning shame into productive agency. The ensuing role of productive shame is to prevent the recurrence of the institutional structures, patterns, and events that are responsible and constitutive of racism, and has been contextualized in recent debates on political responsibility and reconciliation in Europe and Africa. Contributors Tal Adler, Eva Blimlinger, Andrea B. Braidt, Jasmina Cibic, Das Kollektiv, Zsuzsi Flohr, Eduard Freudmann, Tímea Junghaus, Jakob Krameritsch, Jean-Paul Martinon, Suzana Milevska, Helge Mooshammer, Peter Mörtenböck, Trevor Ngwane, Karin Schneider, Primrose Sonti, Gayatri Chakravorty Spivak, Working Group Four Faces of Omarska Publication Series of the Academy of Fine Arts Vienna, vol. 16"
Giacomo Joyce: Envoys of the Other,Louis Armand,,4,/book/show/640520.Giacomo_Joyce,Gayatri Chakravorty Spivak,"Of all Joyce's extant works, Giacomo Joyce is the one that has least received its due. This book, the first collection of essays devoted entirely to Joyce's last published work, is an attempt to place the critical reception of this text within the larger framework of current Joyce studies."
Edward Said and the Work of the Critic: Speaking Truth to Power (a boundary 2 book),Paul A. Bové,,11,/book/show/20139722-edward-said-and-the-work-of-the-critic,Gayatri Chakravorty Spivak,"For at least two decades the career of Edward Said has defined what it means to be a public intellectual today. Although attacked as a terrorist and derided as a fraud for his work on behalf of his fellow Palestinians, Said’s importance extends far beyond his political activism. In this volume a distinguished group of scholars assesses nearly every aspect of Said’s workâ€”his contributions to postcolonial theory, his work on racism and ethnicity, his aesthetics and his resistance to the aestheticization of politics, his concepts of figuration, his assessment of the role of the exile in a metropolitan culture, and his work on music and the visual arts. In two separate interviews, Said himself comments on a variety of topics, among them the response of the American Jewish community to his political efforts in the Middle East. Yet even as the Palestinian struggle finds a central place in his work, it is essentialâ€”as the contributors demonstrateâ€”to see that this struggle rests on and gives power to his general ""critique of colonizers"" and is not simply the outgrowth of a local nationalism. Perhaps more than any other person in the United States, Said has changed how the U.S. media and American intellectuals must think about and represent Palestinians, Islam, and the Middle East. Most importantly, this change arises not as a result of political action but out of a potent humanismâ€”a breadth of knowledge and insight that has nourished many fields of inquiry. Originally a special issue of boundary 2 , the book includes new articles on minority culture and on orientalism in music, as well as an interview with Said by Jacqueline Rose. Supporting the claim that the last third of the twentieth century can be called the ""Age of Said,"" this collection will enlighten and engage students in virtually any field of humanistic study. Contributors . Jonathan Arac, Paul A. BovÃ©, Terry Cochran, Barbara Harlow, Kojin Karatani, Rashid I. Khalidi, Sabu Kohsu, Ralph Locke, Mustapha Marrouchi, Jim Merod, W. J. T. Mitchell, Aamir R. Mufti, Jacqueline Rose, Edward W. Said, Gayatri Chakravorty Spivak, Lindsay Waters"
Rights of Future Generations: Propositions,Andrea Bagnato,,1,/book/show/56680322-rights-of-future-generations,Gayatri Chakravorty Spivak,"Toward an Architecture of Solidarity or The Urgency of the Future. Communities that, around the world, are fighting against environmental violence and for the rights of their future generations to survive set an example: It is not just the present that makes clear demands of us, but the future does, as well. It requires not only ecological responsibility, but also a culture of remembrance, a responsible approach to colonial history and diasporas, and a new political consciousness. The first Sharjah Architecture Triennial 2019 was dedicated to these topics. Hatje Cantz published an anthology in the year of the event, which compiles the results of the exhibition and its consequences for future architects. The second volume now takes a broader look, with the contribution of important authors and activists, at the challenges that a future worth living in will bring. The SHARJAH ARCHITECTURE TRIENNIAL was founded with the aim of providing critical contributions to architectural and urban development. It takes place in Sharjah, UAE, with a focus on architecture from the Middle East, North and East Africa, and South and Southeast Asia."
Literary Theory Today,Peter Collier,,4,/book/show/1812335.Literary_Theory_Today,Gayatri Chakravorty Spivak,"This volume assesses the current state of literary theory and examines the issues to be addressed by future research. The essays in this volume cover established theoretical perspectives and debates and also examine the changing the face of literary studies in the modern world. They include essays on reception theory, sociology and literature, modernism and post-modernism, Marxism and literature, feminist literary theory, psychoanalytic literary theory and the relevance of race and imperialism to the study of literature."
